Module ID,Module Name,Range Min,Range Max,Feedback
5,Logical Reasoning,90,100,"Have the ability to make logical decisions and  to recognize when insufficient data has been provided for a definitive answer to be reached; as would be the case in many real-life situations. Logical ways of thinking are mainly induction, deduction, analysis and synthesis, from abstract to the concrete. "
5,Logical Reasoning,59,90,"Have the ability to make logical decisions based on basic abstract concepts, judgment and reasoning as basic forms of thinking, such as analysis, synthesis, generalization."
5,Logical Reasoning,30,59,"Can make simple judgments, reasoning and conclusions based on logical thought processes."
5,Logical Reasoning,0,29,"Tendency towards thinking based on emotions. May experience difficulty in making judgments, reasoning, and other forms of dynamic thinking to reflect the objective reality of some rational knowledge ."
6,Numerical Reasoning,90,100,"Can perform higher order reasoning with numbers and numerical concepts. Have ability to reason with numbers, to manipulate numerical relationships and to deal intelligently with quantitative materials. "
6,Numerical Reasoning,59,90,Can understand numerical relationships and have facility in handling numerical concepts which are not very complex.
6,Numerical Reasoning,30,59,Can understand numerical concepts and relationships however have difficulty in performing higher order calculations and manipulations with numbers.
6,Numerical Reasoning,0,29,Can perform basic logical interpretation of numerical and statistical information.
7,Social Skills,90,100,"Have good understanding of self and others, relate well to people, are assertive and easily adapt to and cope with the immediate surroundings to be more successful in dealing with environmental demands. "
7,Social Skills,59,90,"Are socially confident and outgoing. Have the ability to sense, understand, and react to others' emotions while comprehending social networks."
7,Social Skills,30,59,Are generally at ease and comfortable with people in familiar social situations. Socially reserved and can be self-conscious or shy in unfamiliar social situations.
7,Social Skills,0,29,"Are socially reserved and may experience discomfort in social situations. Hesitate in initiating social contact, asserting self and may be intimidated by authority. Prefer to be on your own and may not stand up for your point of view. "
8,Team Work,90,100,"Are a team player that can communicate, problem solve, and negotiate with other team members. Are flexible, adaptable, and able to work together to further your companies' goals to succeed and stay competitive. Have Leadership capabilities and the ability to inspire, influence, and develop others while managing conflict. "
8,Team Work,59,90,Have a positive influence on others and are responsible for own work as well as team goals. Work well on your own as well as in a group. Can identify team strengths and apply team work skills to a range of situations.
8,Team Work,30,59,Recognize team goals and accept these goals by working cooperatively with other team members. Practice followership by taking direction and responding appropriately to feedback.
8,Team Work,0,29,Prefer individual orientation towards choosing behaviors that lead both toward the accomplishment of work tasks as well as  supporting relationships between team members. May hesitate to trust team members. 
9,Emotional Intelligence,90,100,"Are capable of reflective regulation of emotions to promote emotional and intellectual growth. Have accuracy at perceiving and understanding emotional state in the self and in others and is effective in regulating, controlling and using these emotions in order to achieve goals. Can manage your own feelings and those of others. "
9,Emotional Intelligence,59,90,Can understand and analyze emotions and employ emotional knowledge productively. Are aware off and have the ability to manage emotions in a healthy and productive manner. Can understand how best to motivate self.
9,Emotional Intelligence,30,59,"Are capable of simple abilities of perceiving and expressing emotion. Emotional mood swings change your perspective from optimistic to pessimistic, encouraging consideration of multiple points of view. "
9,Emotional Intelligence,0,29,"Prioritize emotional thinking by directing attention to important information. May experience difficulty on how best to motivate self to overcome obstacles and reach your goals. Hesitate in dealing with own emotions and those of others. May find social interactions difficult at times, for several reasons."
10,Self Management ,90,100,"Are conscientious, adaptable and  show initiative and drive to succeed. Have the  ability to use time productively; which involves staying organized, working smarter rather than faster,  avoiding potential time-wasters. Also have the ability to control one's emotions and impulses and adapt to changing circumstances."
10,Self Management ,59,90,"Can coordinate tasks for yourself and others. Collect, organize and analyze information for forward planning.  Have self awareness of own strengths and challenges. Use prioritization and time management skills to effectively and efficiently accomplish tasks. "
10,Self Management ,30,59,"Can manage time and priorities however you may hesitate to take on responsibility. Would prefer working in a low-pressure environment. With encouragement can detect, diagnose, and resolve problems."
10,Self Management ,0,29,May experience some difficulty in displaying the necessary skills for maximizing time usage productively.  For effective performance you would prefer to work under supervision and would prefer not take on responsibility. 
