Statement ID,Assessment Key,Cateogry ID,Category Name,Left Statement,Right Statement
40,CE,9,Your Schooling,Teachers took very little interest in any of my creative actions or ideas.,"I was handsomely praised, encouraged, or rewarded for being innovative or for having creative ideas."
41,CE,9,Your Schooling,I was immediately called names or punished by teachers or fellow students for doing or saying anything new or controversial.,No personal criticism for my doing or saying anything novel or controversial; criticism if any was offered after patient hearing
42,CE,9,Your Schooling,Teachers or senior students never discussed with me my creative efforts in any detail nor provided me with a detailed feedback.,Teachers or senior students usually gave a constructive and detailed feedback on my creations or innovations and tried to clarify underlying principles
43,CE,9,Your Schooling,I had no opportunity at school to learn techniques and know-how relevant to my hobbies or interests,The school provided full opportunity to learn techniques and know-how relevant to my hobbies or interests from creative teachers.
44,CE,9,Your Schooling,"At school, just one ‘correct’ point of view was emphasized. There was no encouragement to divergent views.","At school, there was a conscious effort to expose students to various points of view on issues and there were many exciting debates on issues."
45,CE,9,Your Schooling,Nobody bothered even if I performed badly in activities that interested me.,Freedom was given to me to pursue my interests but no excuses were tolerated for shabby performance.
46,CE,9,Your Schooling,"At school, moralistic or pious figures were most respected and were held up as examples to emulate.","At school, the most respected figures were innovators, pioneers, reformers, and creators in various walks of life."
47,CE,9,Your Schooling,"At school, there were virtually no facilities to pursue my hobbies and interests.","At school, there were reasonable facilities to pursue almost any hobby or interest."
48,CE,9,Your Schooling,The teachers were mostly rather conformist and expected me to uphold their values,"The teachers were mostly strongly committed to creativity and innovation, and inspired me to become an innovator or a pioneer."
49,CE,10,Your Current Social Environment,Very monotonous; nothing particularly interesting occuring,"Very stimulating; constant stream of new activities, interesting new friends, new ideas, etc."
50,CE,10,Your Current Social Environment,Nobody cares a damn about any of my creative act,Very strong encouragement and praise for being innovative or for having creative ideas
51,CE,10,Your Current Social Environment,I am immediately criticized or called names for doing or saying anything novel or controversial.,No personal criticism is made for doing or saying anything novel or controversial; criticism if any is offered after a patient hearing by people close to me.
52,CE,10,Your Current Social Environment,There is nobody to discuss with me in detail any creative effort of mine.,I can count on a number of friends or relations to discuss with me in detail any creative effort of mine.
53,CE,10,Your Current Social Environment,My circumstances do not permit me to learn techniques and know-how relevant to my hobbies or interests.,"My circumstances afford me nearly unlimited opportunities to learn techniques and know-how relevant to my hobbies or interests, and that too from creative experts."
54,CE,10,Your Current Social Environment,People I know intimately by and large all hold similar views on most issues.,Most of the people I know intimately have quite divergent views on many issues and they express them with a lot of conviction.
55,CE,10,Your Current Social Environment,Nobody close to me cares even if I perform badly in activities that interest me.,"While nobody comes in my way in pursuing my interests, people close to me take me to task if I turn in a shabby performance."
56,CE,10,Your Current Social Environment,"In my social circle, pious or moralistic individuals are held in the highest esteem.","In my social circle, pioneers, innovators, reformers, and creators are held in the highest esteem."
57,CE,10,Your Current Social Environment,I really have no access to physical or financial facilities to pursue my hobbies or interests.,I have access to reasonable physical and financial facilities to pursue any and all of my hobbies and interests.
58,CE,10,Your Current Social Environment,Prominent figures in my social circle are quite conformist in their outlook and expect me to conform to their values and norms.,"Prominent figures in my social circle are mostly committed to creativity and innovation, and inspire me to be an innovator or a pioneer."
59,CE,11,Your Work Study Environment,Very monotonous; nothing particularly interesting to do,"Very stimulating; constantly getting interesting assignments, meeting interesting people, coming across new ideas, etc."
60,CE,11,Your Work Study Environment,Nobody takes any interest in any of my creative efforts.,I am greatly encouraged and rewarded for being innovative or creative.
61,CE,11,Your Work Study Environment,I am likely to be immediately criticized or punished in some way for saying or doing anything novel or controversial.,"There is never any personal criticism; criticism if any is always after a patient hearing to my novel, off-beat, or innovative ideas."
62,CE,11,Your Work Study Environment,Nobody here would bother to give (or could give) me constructive and detailed feedback on any innovative effort of mine.," Here I can certainly expect wellinformed constructive and detailed feedback on my innovative efforts from
knowledgeable persons."
63,CE,11,Your Work Study Environment,Here I have no opportunity to learn techniques and know-how relevant to the assignments or tasks of interest to me.,I have nearly unlimited opportunity to learn all the techniques and know-how relevant to my work/study from innovative instructors/trainers/staff
64,CE,11,Your Work Study Environment,Here there is no freedom to hold beliefs or positions different from the official line or philosophy of the bosses.,Here people hold strong and diverse positions on various issues and articulate them forcefully
65,CE,11,Your Work Study Environment,Nobody here bothers even if I perform badly on various tasks of interest to me,Here I have freedom to pursue my work-related interests but no excuses for shabby performance are tolerated.
66,CE,11,Your Work Study Environment,"Here the greatest respect is given to moralistic, obedient or dutiful persons.","Here the greatest respect is given to persons who are successful pioneers, innovators, change agents, or creators."
67,CE,11,Your Work Study Environment,Here I have no access to physical and financial facilities to pursue any workrelated interests or to develop ‘wild’ ideas.,There are reasonable physical and financial facilities here to pursue my work-related interests or ‘wild’ ideas.
68,CE,11,Your Work Study Environment,"The boss figures here are quite conformist and expect me also to conform strictly to the organization’s rules, norms and procedures.",The boss figures here are strongly committed to creativity and innovation and inspire me to be creative and innovative.
