ID,Assessment Key,Category Name,Category ID,Statement
76,CT,Starved Sensibilities,16, You can’t be called mature unless you can really control your emotions.
77,CT,Starved Sensibilities,16, I resist expressing tenderness towards others.
78,CT,Starved Sensibilities,16, I rather dislike sad movies.
79,CT,Starved Sensibilities,16, I have very little interest in flower arrangements and the like.
80,CT,Starved Sensibilities,16," No matter what choice of food I have in a restaurant, I like to order the same old favourites."
81,CT,Starved Sensibilities,16, I can’t stand meetings without a clear prior agenda.
82,CT,Starved Sensibilities,16, I have never bothered myself with modern art.
83,CT,Starved Sensibilities,16, I can’t be bothered with questions such as “What would happen if birds had brains like humans and humans had wings like birds?”.
84,CT,Starved Sensibilities,16, A pound of imagination is not worth an ounce of facts.
85,CT,Starved Sensibilities,16, I don’t like to see serious plays or movies
